X,Y
263,55.7051
264,56.6154
265,56.3590
266,55.6667
267,54.8077
268,53.6410
269,52.9487
270,53.4359
271,53.8718
272,55.7179
273,55.4744
274,56.9231
275,57.0769
276,59.0000
277,59.3462
278,59.0769
279,58.2308
280,58.9359
281,59.2436
282,56.4487
283,57.4231
284,61.8590
285,62.1667
286,61.5256
287,61.7179
288,61.2051
289,61.3333
290,63.0000
291,63.9872
292,64.1923
293,64.3590
294,65.5897
295,67.3205
296,64.9872
297,61.1410
298,59.9744
299,60.7949
300,62.2564
301,64.1026
302,0.0769
303,0.0000
304,0.0385
305,0.0000
306,0.0769
307,71.6154
308,70.6795
309,71.6154
310,73.9744
311,74.1923
312,80.1410
313,82.5513
314,77.3205
315,75.5128
316,71.3974
317,66.9615
318,68.3590
319,68.8077
320,68.0128
321,69.0897
322,0.0385
323,0.0385
324,0.0000
325,0.0641
326,0.1538
327,0.1410
328,0.0769
329,0.0000
330,0.1667
331,54.0513
332,82.3205
333,82.9359
334,80.5897
335,79.3590
336,79.5897
337,77.8590
338,74.2821
339,72.9744
340,72.5128
341,75.0897
342,76.5513
343,77.1282
344,74.5513
345,71.9744
346,72.5897
347,74.0641
348,74.0513
349,74.2692
350,75.3846
351,76.8846
352,78.8462
353,79.3077
354,77.4231
355,74.8462
356,75.0769
357,75.6923
358,79.3333
359,80.8077
360,75.5000
361,77.6795
362,79.5000
363,81.1538
364,81.6154
365,82.3846
366,78.6154
367,78.1154
368,81.4231
369,85.1923
370,82.3077
371,76.5385
372,76.3077
373,79.8846
374,79.1154
375,75.4615
376,76.1538
377,78.2692
378,76.6923
379,76.1538
380,77.3846
381,76.5769
382,75.7308
383,77.5769
384,81.4231
385,82.8846
386,79.6923
387,76.0385
388,75.0769
389,75.3846
390,74.8205
391,77.7436
392,79.1667
393,79.1667
394,81.0513
395,81.1667
396,78.0897
397,75.3590
398,77.6667
399,78.5128
400,77.4744
401,77.2436
402,78.6667
403,78.8590
404,78.5513
405,79.2821
406,80.6923
407,79.6154
408,78.1923
409,78.8846
410,80.0000
411,77.8846
412,76.1154
413,77.5385
414,79.2692
415,82.1923
416,81.6538
417,79.0000
418,77.5769
419,75.4231
420,74.8846
421,77.3462
422,78.3077
423,79.0385
424,78.1923
425,81.2692
426,87.3077
427,86.0769
428,81.0769
429,79.8846
430,77.6410
431,77.1410
432,79.0641
433,78.9487
434,76.9103
435,79.5641
436,84.6026
437,87.1026
438,83.2949
439,80.7564
440,77.4103
441,79.9487
442,82.3718
443,82.4487
444,83.7179
445,81.8718
446,82.1026
447,82.7179
448,82.1795
449,80.2564
450,78.8718
451,79.6795
452,81.3718
453,82.7179
454,84.4872
455,85.7949
456,83.7949
457,83.1026
458,80.8333
459,78.9487
460,82.2308
461,83.2692
462,82.9231
463,79.7308
464,75.5385
465,78.6538
466,83.9231
467,84.1923
468,84.2179
469,87.1795
470,83.2692
471,80.9231
472,80.3077
473,82.1154
474,84.1538
475,85.6923
476,84.4615
477,80.9615
478,82.1154
479,84.3846
480,82.5000
481,80.3846
482,82.4231
483,83.3846
484,82.3462
485,82.4231
486,82.6795
487,85.7949
488,87.9103
489,88.7949
490,86.8718
491,83.6026
492,81.7949
493,80.1026
494,81.4872
495,79.7949
496,81.6410
497,82.4487
498,84.7179
499,82.8718
500,83.2949
501,82.4487
502,80.5641
503,81.2179
504,80.8333
