[front_panel]
mode=T1 - R1
output=5 dB
gain=10 dB
probe1=2 MHz
probe2=no probe

[measure]
selection=1
samplerate=2
begin=0
end=72
sound speed=2710
units=0

[ascan]
fft filter=0
fft middle=1
fft width=1
fft gate=0
cepstrum filter=0
cepstrum middle=0
cepstrum width=20
cepstrum gate=20

Depth [µs]	Amplitude	HF-filtered	Amplitude-filtered	
8,680E+00	1,214E-02	0,000E+00	0,000E+00	
8,720E+00	1,222E-02	0,000E+00	0,000E+00	
8,760E+00	1,230E-02	0,000E+00	0,000E+00	
8,800E+00	1,237E-02	0,000E+00	0,000E+00	
8,840E+00	1,244E-02	0,000E+00	0,000E+00	
8,880E+00	1,249E-02	0,000E+00	0,000E+00	
8,920E+00	1,252E-02	0,000E+00	0,000E+00	
8,960E+00	1,255E-02	0,000E+00	0,000E+00	
9,000E+00	1,255E-02	0,000E+00	0,000E+00	
9,040E+00	1,255E-02	0,000E+00	0,000E+00	
9,080E+00	1,253E-02	0,000E+00	0,000E+00	
9,120E+00	1,252E-02	0,000E+00	0,000E+00	
9,160E+00	1,250E-02	0,000E+00	0,000E+00	
9,200E+00	1,248E-02	0,000E+00	0,000E+00	
9,240E+00	1,246E-02	0,000E+00	0,000E+00	
9,280E+00	1,245E-02	0,000E+00	0,000E+00	
9,320E+00	1,243E-02	0,000E+00	0,000E+00	
9,360E+00	1,242E-02	0,000E+00	0,000E+00	
9,400E+00	1,241E-02	0,000E+00	0,000E+00	
9,440E+00	1,239E-02	0,000E+00	0,000E+00	
9,480E+00	1,236E-02	0,000E+00	0,000E+00	
9,520E+00	1,233E-02	0,000E+00	0,000E+00	
9,560E+00	1,229E-02	0,000E+00	0,000E+00	
9,600E+00	1,225E-02	0,000E+00	0,000E+00	
9,640E+00	1,221E-02	0,000E+00	0,000E+00	
9,680E+00	1,217E-02	0,000E+00	0,000E+00	
9,720E+00	1,214E-02	0,000E+00	0,000E+00	
9,760E+00	1,213E-02	0,000E+00	0,000E+00	
9,800E+00	1,212E-02	0,000E+00	0,000E+00	
9,840E+00	1,214E-02	0,000E+00	0,000E+00	
9,880E+00	1,216E-02	0,000E+00	0,000E+00	
9,920E+00	1,220E-02	0,000E+00	0,000E+00	
9,960E+00	1,224E-02	0,000E+00	0,000E+00	
1,000E+01	1,228E-02	0,000E+00	0,000E+00	
1,004E+01	1,231E-02	0,000E+00	0,000E+00	
1,008E+01	1,232E-02	0,000E+00	0,000E+00	
1,012E+01	1,232E-02	0,000E+00	0,000E+00	
1,016E+01	1,231E-02	0,000E+00	0,000E+00	
1,020E+01	1,227E-02	0,000E+00	0,000E+00	
1,024E+01	1,222E-02	0,000E+00	0,000E+00	
1,028E+01	1,216E-02	0,000E+00	0,000E+00	
1,032E+01	1,209E-02	0,000E+00	0,000E+00	
1,036E+01	1,202E-02	0,000E+00	0,000E+00	
1,040E+01	1,195E-02	0,000E+00	0,000E+00	
1,044E+01	1,189E-02	0,000E+00	0,000E+00	
1,048E+01	1,184E-02	0,000E+00	0,000E+00	
1,052E+01	1,180E-02	0,000E+00	0,000E+00	
1,056E+01	1,178E-02	0,000E+00	0,000E+00	
1,060E+01	1,177E-02	0,000E+00	0,000E+00	
1,064E+01	1,177E-02	0,000E+00	0,000E+00	
1,068E+01	1,179E-02	0,000E+00	0,000E+00	
1,072E+01	1,182E-02	0,000E+00	0,000E+00	
1,076E+01	1,186E-02	0,000E+00	0,000E+00	
1,080E+01	1,190E-02	0,000E+00	0,000E+00	
1,084E+01	1,196E-02	0,000E+00	0,000E+00	
1,088E+01	1,201E-02	0,000E+00	0,000E+00	
1,092E+01	1,207E-02	0,000E+00	0,000E+00	
1,096E+01	1,213E-02	0,000E+00	0,000E+00	
1,100E+01	1,218E-02	0,000E+00	0,000E+00	
1,104E+01	1,223E-02	0,000E+00	0,000E+00	
1,108E+01	1,227E-02	0,000E+00	0,000E+00	
1,112E+01	1,230E-02	0,000E+00	0,000E+00	
1,116E+01	1,231E-02	0,000E+00	0,000E+00	
1,120E+01	1,232E-02	0,000E+00	0,000E+00	
1,124E+01	1,232E-02	0,000E+00	0,000E+00	
1,128E+01	1,232E-02	0,000E+00	0,000E+00	
1,132E+01	1,230E-02	0,000E+00	0,000E+00	
1,136E+01	1,229E-02	0,000E+00	0,000E+00	
1,140E+01	1,228E-02	0,000E+00	0,000E+00	
1,144E+01	1,226E-02	0,000E+00	0,000E+00	
1,148E+01	1,225E-02	0,000E+00	0,000E+00	
1,152E+01	1,225E-02	0,000E+00	0,000E+00	
1,156E+01	1,224E-02	0,000E+00	0,000E+00	
1,160E+01	1,224E-02	0,000E+00	0,000E+00	
1,164E+01	1,223E-02	0,000E+00	0,000E+00	
1,168E+01	1,222E-02	0,000E+00	0,000E+00	
1,172E+01	1,220E-02	0,000E+00	0,000E+00	
1,176E+01	1,217E-02	0,000E+00	0,000E+00	
1,180E+01	1,214E-02	0,000E+00	0,000E+00	
1,184E+01	1,211E-02	0,000E+00	0,000E+00	
1,188E+01	1,207E-02	0,000E+00	0,000E+00	
1,192E+01	1,203E-02	0,000E+00	0,000E+00	
1,196E+01	1,198E-02	0,000E+00	0,000E+00	
1,200E+01	1,194E-02	0,000E+00	0,000E+00	
1,204E+01	1,190E-02	0,000E+00	0,000E+00	
1,208E+01	1,186E-02	0,000E+00	0,000E+00	
1,212E+01	1,183E-02	0,000E+00	0,000E+00	
1,216E+01	1,180E-02	0,000E+00	0,000E+00	
1,220E+01	1,177E-02	0,000E+00	0,000E+00	
1,224E+01	1,175E-02	0,000E+00	0,000E+00	
1,228E+01	1,174E-02	0,000E+00	0,000E+00	
1,232E+01	1,173E-02	0,000E+00	0,000E+00	
1,236E+01	1,174E-02	0,000E+00	0,000E+00	
1,240E+01	1,175E-02	0,000E+00	0,000E+00	
1,244E+01	1,177E-02	0,000E+00	0,000E+00	
1,248E+01	1,181E-02	0,000E+00	0,000E+00	
1,252E+01	1,185E-02	0,000E+00	0,000E+00	
1,256E+01	1,191E-02	0,000E+00	0,000E+00	
1,260E+01	1,197E-02	0,000E+00	0,000E+00	
1,264E+01	1,203E-02	0,000E+00	0,000E+00	
1,268E+01	1,209E-02	0,000E+00	0,000E+00	
1,272E+01	1,215E-02	0,000E+00	0,000E+00	
1,276E+01	1,221E-02	0,000E+00	0,000E+00	
1,280E+01	1,226E-02	0,000E+00	0,000E+00	
1,284E+01	1,230E-02	0,000E+00	0,000E+00	
1,288E+01	1,233E-02	0,000E+00	0,000E+00	
1,292E+01	1,234E-02	0,000E+00	0,000E+00	
1,296E+01	1,234E-02	0,000E+00	0,000E+00	
1,300E+01	1,233E-02	0,000E+00	0,000E+00	
1,304E+01	1,231E-02	0,000E+00	0,000E+00	
1,308E+01	1,227E-02	0,000E+00	0,000E+00	
1,312E+01	1,223E-02	0,000E+00	0,000E+00	
1,316E+01	1,218E-02	0,000E+00	0,000E+00	
1,320E+01	1,212E-02	0,000E+00	0,000E+00	
1,324E+01	1,207E-02	0,000E+00	0,000E+00	
1,328E+01	1,201E-02	0,000E+00	0,000E+00	
1,332E+01	1,196E-02	0,000E+00	0,000E+00	
1,336E+01	1,190E-02	0,000E+00	0,000E+00	
1,340E+01	1,185E-02	0,000E+00	0,000E+00	
1,344E+01	1,181E-02	0,000E+00	0,000E+00	
1,348E+01	1,177E-02	0,000E+00	0,000E+00	
1,352E+01	1,173E-02	0,000E+00	0,000E+00	
1,356E+01	1,170E-02	0,000E+00	0,000E+00	
1,360E+01	1,168E-02	0,000E+00	0,000E+00	
1,364E+01	1,167E-02	0,000E+00	0,000E+00	
1,368E+01	1,166E-02	0,000E+00	0,000E+00	
1,372E+01	1,167E-02	0,000E+00	0,000E+00	
1,376E+01	1,168E-02	0,000E+00	0,000E+00	
1,380E+01	1,171E-02	0,000E+00	0,000E+00	
1,384E+01	1,174E-02	0,000E+00	0,000E+00	
